Neighborhood,LivArea,TotalBedrooms,SalePrice,Source
NAmes,985,2,105000,Ames
NAmes,827,2,107500,Ames
NAmes,1086,3,144900,Ames
NAmes,936,2,129000,Ames
NAmes,1458,3,97500,Ames
OldTown,1056,0,144000,Ames
NAmes,1287,3,162000,Ames
NAmes,2978,5,242000,Ames
NAmes,1224,3,132000,Ames
NAmes,1246,3,154000,Ames
NAmes,1385,4,166000,Ames
NAmes,900,3,134800,Ames
NAmes,1116,3,160000,Ames
NAmes,1175,3,148000,Ames
NAmes,1395,2,192000,Ames
NAmes,1839,4,155000,Ames
OldTown,1844,3,80400,Ames
OldTown,1140,3,96500,Ames
OldTown,936,2,109500,Ames
OldTown,1028,2,115000,Ames
OldTown,1347,3,143000,Ames
OldTown,1605,3,107400,Ames
OldTown,747,2,80000,Ames
OldTown,804,2,119000,Ames
OldTown,1316,3,130000,Ames
OldTown,1251,3,119000,Ames
OldTown,1633,3,129000,Ames
OldTown,1245,3,1.00E+05,Ames
OldTown,832,2,12789,Ames
OldTown,720,2,105900,Ames
OldTown,1566,3,150000,Ames
OldTown,1652,4,139000,Ames
OldTown,2268,3,240000,Ames
OldTown,2256,4,76500,Ames
OldTown,1236,2,149700,Ames
OldTown,1363,3,125500,Ames
OldTown,2290,4,122500,Ames
OldTown,1470,2,140750,Ames
BrkSide,1612,3,128500,Ames
BrkSide,2068,3,209500,Ames
BrkSide,765,2,87000,Ames
BrkSide,1132,2,134000,Ames
BrkSide,1196,3,128000,Ames
BrkSide,1453,3,132000,Ames
BrkSide,1416,3,139900,Ames
BrkSide,1040,2,123900,Ames
BrkSide,1536,4,138400,Ames
OldTown,1068,2,109500,Ames
OldTown,1710,3,140000,Ames
OldTown,1962,4,149500,Ames
OldTown,1560,3,159900,Ames
OldTown,1324,3,122000,Ames
IDOTRR,816,2,110000,Ames
IDOTRR,1092,3,55000,Ames
OldTown,1812,4,140000,Ames
ClearCr,2403,4,244400,Ames
ClearCr,1675,3,173000,Ames
ClearCr,1224,3,107500,Ames
SWISU,1392,3,1.00E+05,Ames
SWISU,919,3,95000,Ames
SWISU,1884,4,93369,Ames
SWISU,1680,2,114900,Ames
Sawyer,1020,2,94000,Ames
Sawyer,1832,4,136000,Ames
Sawyer,1768,4,136500,Ames
Sawyer,1039,3,131500,Ames
Sawyer,1392,3,121500,Ames
Sawyer,912,3,125000,Ames
Sawyer,1060,3,154000,Ames
Sawyer,892,3,137900,Ames
Sawyer,1352,4,158000,Ames
Sawyer,864,2,137250,Ames
Sawyer,1373,3,160250,Ames
Sawyer,1440,4,163000,Ames
Sawyer,1386,3,158900,Ames
ClearCr,2260,3,328000,Ames
ClearCr,1483,1,270000,Ames
Sawyer,756,2,85000,Ames
Sawyer,1067,2,128000,Ames
ClearCr,1524,0,260000,Ames
ClearCr,1981,4,230000,Ames
Edwards,1610,4,124000,Ames
Edwards,835,2,83000,Ames
Edwards,1074,3,144500,Ames
Edwards,1144,3,129000,Ames
Edwards,1531,3,127000,Ames
Edwards,1172,3,128000,Ames
Edwards,1212,3,186000,Ames
Edwards,1508,1,308030,Ames
Edwards,1298,3,114000,Ames
Edwards,930,2,84900,Ames
SawyerW,1732,3,178000,Ames
SawyerW,1433,1,270000,Ames
SawyerW,1802,3,218000,Ames
SawyerW,1949,3,236000,Ames
SawyerW,996,2,147000,Ames
CollgCr,1694,3,245350,Ames
CollgCr,1208,2,206000,Ames
CollgCr,1226,3,198900,Ames
CollgCr,1222,2,187000,Ames
SawyerW,3222,5,320000,Ames
SawyerW,1445,3,138500,Ames
ClearCr,1052,3,155000,Ames
CollgCr,965,2,159000,Ames
CollgCr,1692,3,191000,Ames
CollgCr,1682,3,200500,Ames
CollgCr,1026,3,150000,Ames
CollgCr,1392,3,161750,Ames
CollgCr,894,3,128200,Ames
CollgCr,876,3,127000,Ames
CollgCr,1978,3,318000,Ames
CollgCr,1601,3,272000,Ames
CollgCr,1829,3,237000,Ames
CollgCr,2098,4,240000,Ames
CollgCr,1661,3,224900,Ames
CollgCr,848,1,143750,Ames
CollgCr,848,1,143000,Ames
CollgCr,1668,3,232000,Ames
CollgCr,1484,3,213000,Ames
CollgCr,1414,3,185500,Ames
Edwards,640,2,84900,Ames
Edwards,992,3,155891,Ames
Edwards,1664,4,1.00E+05,Ames
Edwards,1196,3,144000,Ames
Edwards,1120,2,64000,Ames
Edwards,1096,3,125200,Ames
Edwards,1117,3,107000,Ames
Edwards,960,3,90000,Ames
Edwards,1121,2,140000,Ames
Edwards,1487,3,113000,Ames
Edwards,924,2,80000,Ames
Edwards,1526,4,144500,Ames
SWISU,1296,2,104000,Ames
SWISU,1647,4,128000,Ames
Edwards,864,2,58500,Ames
SWISU,1691,3,127000,Ames
SWISU,856,2,126000,Ames
SWISU,2650,6,160000,Ames
SWISU,1666,3,1.00E+05,Ames
SWISU,2447,4,169000,Ames
Crawfor,2133,4,257500,Ames
Crawfor,2177,5,215000,Ames
Crawfor,2340,4,266500,Ames
Crawfor,1902,3,335000,Ames
Crawfor,1652,3,203135,Ames
Blueste,1034,1,185000,Ames
Blueste,1191,2,162500,Ames
Crawfor,1801,1,289000,Ames
IDOTRR,1154,3,125500,Ames
IDOTRR,540,1,82000,Ames
IDOTRR,1107,2,110000,Ames
IDOTRR,1128,2,68400,Ames
IDOTRR,1178,2,102776,Ames
IDOTRR,1044,2,55993,Ames
IDOTRR,952,3,50138,Ames
Crawfor,1646,2,246000,Ames
Mitchel,1916,3,254900,Ames
Mitchel,1285,3,190000,Ames
Mitchel,1560,3,201000,Ames
Mitchel,1034,3,169900,Ames
Mitchel,2048,5,170000,Ames
Timber,1687,3,160000,Ames
Timber,1346,3,220000,Ames
Timber,1214,2,179781,Ames
Timber,1444,3,174000,Ames
Timber,1968,4,269500,Ames
Timber,1894,4,214900,Ames
Timber,1908,4,202900,Ames
Timber,2018,3,378500,Ames
Mitchel,1264,2,169000,Ames
Mitchel,1430,3,173500,Ames
Mitchel,1824,4,139000,Ames
Mitchel,1344,3,166500,Ames
MeadowV,1092,3,83500,Ames
MeadowV,945,2,119500,Ames
MeadowV,1112,3,85000,Ames
MeadowV,1092,3,76000,Ames
MeadowV,630,1,75500,Ames
MeadowV,1092,3,88250,Ames
MeadowV,1092,3,85500,Ames
Mitchel,874,3,130000,Ames
Mitchel,1188,3,157900,Ames
Mitchel,833,2,149900,Ames
Mitchel,2432,4,159000,Ames
Mitchel,1274,3,136000,Ames
Mitchel,1479,5,161000,Ames
Mitchel,1803,3,285000,Ames
Mitchel,1797,3,231000,Ames
NAmes,882,2,124500,Ames
NAmes,1434,4,157000,Ames
NAmes,2704,4,345000,Ames
Gilbert,1608,3,189500,Ames
Gilbert,2283,4,270000,Ames
Gilbert,1628,3,189000,Ames
Gilbert,1746,3,377500,Ames
Gilbert,1474,3,168500,Ames
StoneBr,2522,1,375000,Ames
StoneBr,1659,2,278000,Ames
StoneBr,1478,2,240000,Ames
StoneBr,1734,2,239500,Ames
Gilbert,1382,3,177500,Ames
Gilbert,1718,3,185000,Ames
Gilbert,1636,3,191000,Ames
Gilbert,1571,3,178000,Ames
Gilbert,1470,3,185000,Ames
Gilbert,1516,3,181316,Ames
Gilbert,1190,3,166000,Ames
Gilbert,1593,3,178000,Ames
Gilbert,1481,3,174000,Ames
Gilbert,1167,3,173000,Ames
Gilbert,1983,3,225000,Ames
Gilbert,1442,3,180500,Ames
StoneBr,1360,1,187500,Ames
StoneBr,2234,1,501837,Ames
StoneBr,2046,3,372500,Ames
StoneBr,1530,3,260000,Ames
Gilbert,1934,3,185000,Ames
NWAmes,2353,4,260000,Ames
NWAmes,1586,3,181000,Ames
NWAmes,1411,3,82500,Ames
NWAmes,1602,3,215000,Ames
NWAmes,2050,4,154000,Ames
NWAmes,1671,3,2.00E+05,Ames
NWAmes,2673,4,249000,Ames
NWAmes,1472,3,187500,Ames
NWAmes,1707,3,184000,Ames
NWAmes,2524,4,278000,Ames
NWAmes,1601,3,157000,Ames
NWAmes,1370,3,152000,Ames
NWAmes,1868,4,197500,Ames
Somerst,1884,3,240900,Ames
Somerst,1935,3,263435,Ames
Somerst,1874,3,220000,Ames
Somerst,1811,3,235000,Ames
NWAmes,1621,3,213000,Ames
NWAmes,1116,3,167900,Ames
NWAmes,1193,3,158000,Ames
NWAmes,1350,3,165000,Ames
NWAmes,2119,3,158000,Ames
NAmes,1792,4,136000,Ames
NAmes,1002,3,148500,Ames
NAmes,1026,3,156000,Ames
NAmes,1180,2,128000,Ames
NAmes,1050,3,143000,Ames
NAmes,864,3,76500,Ames
NAmes,864,3,120500,Ames
NAmes,864,3,124500,Ames
NAmes,864,2,97000,Ames
NAmes,864,3,130000,Ames
BrDale,987,2,111000,Ames
BrDale,1365,3,125000,Ames
BrDale,1302,3,112000,Ames
BrDale,987,2,97000,Ames
BrDale,987,2,118000,Ames
BrDale,1302,3,119500,Ames
NPkVill,958,2,143750,Ames
NPkVill,1548,3,146000,Ames
NPkVill,1456,3,148500,Ames
NPkVill,1055,2,123000,Ames
NPkVill,1322,3,147000,Ames
NPkVill,1456,3,137900,Ames
NPkVill,1548,3,147000,Ames
NPkVill,1441,3,148500,Ames
NPkVill,1456,3,138000,Ames
NPkVill,836,2,128500,Ames
NAmes,892,3,1.00E+05,Ames
NAmes,1120,3,148800,Ames
NridgHt,1718,3,337500,Ames
NridgHt,2772,4,462000,Ames
NridgHt,3140,4,485000,Ames
NridgHt,2402,2,555000,Ames
NridgHt,1652,2,325000,Ames
NridgHt,1600,3,256300,Ames
NridgHt,2042,3,253293,Ames
NridgHt,2690,3,398800,Ames
NridgHt,2184,3,335000,Ames
NridgHt,2020,3,404000,Ames
NridgHt,2020,3,402861,Ames
NridgHt,2296,3,451950,Ames
NridgHt,2674,2,610000,Ames
NridgHt,2822,4,582933,Ames
NridgHt,1736,3,360000,Ames
NridgHt,1782,3,296000,Ames
NridgHt,2520,5,409900,Ames
NridgHt,1717,3,255500,Ames
NridgHt,1743,3,335000,Ames
NridgHt,1713,3,274900,Ames
NridgHt,1531,2,3.00E+05,Ames
NridgHt,1808,3,324000,Ames
NridgHt,2224,4,350000,Ames
NridgHt,1836,3,280000,Ames
NridgHt,1629,3,284000,Ames
NridgHt,1760,3,269500,Ames
NridgHt,1502,3,233170,Ames
NridgHt,2392,3,386250,Ames
NridgHt,2452,3,445000,Ames
NridgHt,2400,4,290000,Ames
NridgHt,1606,3,255900,Ames
NridgHt,1358,2,213000,Ames
NridgHt,1306,1,196000,Ames
NridgHt,1306,1,184500,Ames
NridgHt,1358,2,212500,Ames
NridgHt,1314,2,230000,Ames
NridgHt,2492,2,552000,Ames
NridgHt,2200,3,382500,Ames
NridgHt,1884,2,320000,Ames
NridgHt,1456,2,248500,Ames
NridgHt,1712,3,286500,Ames
NridgHt,1324,2,254000,Ames
NridgHt,1405,2,173000,Ames
NridgHt,1626,2,173000,Ames
Gilbert,1456,3,184000,Ames
Gilbert,1490,3,167800,Ames
Gilbert,1484,3,174000,Ames
Gilbert,1560,3,174000,Ames
Blmngtn,1555,2,174000,Ames
Blmngtn,1569,1,175900,Ames
Blmngtn,1555,2,192500,Ames
Blmngtn,1504,1,181000,Ames
Blmngtn,1220,2,180000,Ames
Blmngtn,1145,2,160200,Ames
Gilbert,1432,3,188500,Ames
Gilbert,2267,4,2.00E+05,Ames
Gilbert,1374,3,170000,Ames
Gilbert,1630,3,189500,Ames
Gilbert,1419,3,184100,Ames
Gilbert,1594,3,195500,Ames
Gilbert,1489,3,192000,Ames
Gilbert,1342,3,178000,Ames
NridgHt,1314,2,207500,Ames
Gilbert,2256,4,236000,Ames
Gilbert,2004,4,257500,Ames
Gilbert,2054,3,244000,Ames
Gilbert,1374,3,167000,Ames
Gilbert,1800,3,179000,Ames
Gilbert,1514,3,190000,Ames
Gilbert,1430,3,156000,Ames
Gilbert,2312,4,245000,Ames
Gilbert,1675,3,181000,Ames
Gilbert,2060,3,214000,Ames
Gilbert,1430,3,168000,Ames
NoRidge,2365,3,337000,Ames
NoRidge,2794,4,403000,Ames
NoRidge,2687,4,327000,Ames
NoRidge,2450,3,340000,Ames
NoRidge,2612,4,336000,Ames
NoRidge,2344,3,265000,Ames
NoRidge,2063,3,315000,Ames
NoRidge,2646,4,260000,Ames
NoRidge,2061,3,260000,Ames
NoRidge,2232,3,263550,Ames
NoRidge,2448,4,402000,Ames
NoRidge,1850,3,248000,Ames
Somerst,1468,3,244600,Ames
Somerst,1696,3,275000,Ames
Somerst,1658,3,257500,Ames
Somerst,1578,3,287090,Ames
Somerst,1702,3,275500,Ames
Somerst,1432,3,245000,Ames
Somerst,1971,3,253000,Ames
Somerst,2490,2,468000,Ames
Somerst,1852,3,252678,Ames
Somerst,1590,3,210000,Ames
Somerst,1218,2,208300,Ames
Somerst,1436,3,225000,Ames
Somerst,1314,3,229456,Ames
Somerst,1402,3,229800,Ames
Somerst,1530,3,250000,Ames
Somerst,1766,2,370878,Ames
Somerst,1448,2,238500,Ames
Somerst,2007,3,310000,Ames
Somerst,1795,3,270000,Ames
Somerst,1953,3,252000,Ames
Somerst,1550,2,241000,Ames
Somerst,1836,3,264500,Ames
Somerst,1662,3,291000,Ames
Somerst,2094,4,263000,Ames
Somerst,1221,2,185000,Ames
Somerst,1553,3,234500,Ames
Somerst,1653,3,209000,Ames
SawyerW,1218,3,159000,Ames
SawyerW,1141,3,152000,Ames
SawyerW,1158,3,143500,Ames
SawyerW,1812,3,193000,Ames
SawyerW,1512,3,203000,Ames
SawyerW,1200,2,184900,Ames
SawyerW,1114,3,159000,Ames
SawyerW,1114,3,142000,Ames
SawyerW,1114,3,153000,Ames
SawyerW,1450,2,224243,Ames
SawyerW,2122,4,220000,Ames
SawyerW,1844,2,257000,Ames
SawyerW,1434,3,189000,Ames
SawyerW,1730,3,171500,Ames
SawyerW,1217,3,120000,Ames
SawyerW,1332,2,145000,Ames
SawyerW,1540,3,184000,Ames
SawyerW,1400,3,162000,Ames
SawyerW,1882,4,160000,Ames
SawyerW,841,2,82000,Ames
SawyerW,784,2,76000,Ames
Sawyer,980,3,110000,Ames
Sawyer,980,3,135000,Ames
Sawyer,864,3,141000,Ames
Sawyer,864,2,122000,Ames
Sawyer,1020,3,124100,Ames
Sawyer,912,3,129000,Ames
Sawyer,1144,3,131400,Ames
Sawyer,864,3,62383,Ames
Sawyer,912,3,123000,Ames
Veenker,2014,2,275000,Ames
NoRidge,1755,3,235000,Ames
Somerst,3005,3,280750,Ames
Somerst,1224,2,164500,Ames
Somerst,1224,2,173733,Ames
Somerst,1726,2,222000,Ames
Somerst,1256,1,195000,Ames
Somerst,1471,3,172500,Ames
Somerst,1512,2,180000,Ames
Somerst,1452,3,156000,Ames
Somerst,1739,3,172500,Ames
Veenker,1694,2,318750,Ames
Greens,1226,1,211500,Ames
Veenker,1740,2,241600,Ames
Veenker,2499,4,180500,Ames
Sawyer,1620,3,150000,Ames
NWAmes,1556,4,154000,Ames
NWAmes,1442,2,185000,Ames
NWAmes,1489,3,185750,Ames
NWAmes,2090,3,2.00E+05,Ames
NWAmes,2067,3,206000,Ames
NWAmes,1395,3,162000,Ames
NWAmes,2640,5,256900,Ames
NWAmes,1724,3,197900,Ames
NWAmes,1336,3,163000,Ames
NWAmes,1216,3,113000,Ames
NWAmes,2288,4,230000,Ames
NWAmes,1334,2,167900,Ames
NWAmes,1680,3,213250,Ames
NWAmes,1665,3,227000,Ames
NAmes,864,2,130000,Ames
NAmes,1568,3,143000,Ames
NAmes,925,2,117500,Ames
NWAmes,2061,4,168500,Ames
NWAmes,1320,3,172500,Ames
NWAmes,1342,3,161500,Ames
NAmes,894,2,141500,Ames
NAmes,864,3,118000,Ames
NAmes,864,2,127500,Ames
NAmes,1362,3,140000,Ames
NAmes,1728,3,177625,Ames
NAmes,1776,4,110000,Ames
NAmes,1516,3,167000,Ames
NAmes,1313,3,153000,Ames
NAmes,1292,3,145100,Ames
NAmes,1154,3,154000,Ames
NAmes,2140,4,177500,Ames
NAmes,1445,3,158000,Ames
NAmes,1041,3,124500,Ames
NAmes,1576,4,174500,Ames
NAmes,960,2,122000,Ames
BrkSide,708,2,82500,Ames
BrkSide,1203,3,110000,Ames
NAmes,1505,2,149500,Ames
NAmes,1691,2,175000,Ames
NAmes,1644,3,167000,Ames
NAmes,1050,2,128900,Ames
NAmes,1668,3,140000,Ames
NAmes,1113,3,147000,Ames
NAmes,1584,4,124000,Ames
NAmes,1453,3,187500,Ames
NAmes,1394,3,159000,Ames
NAmes,1567,2,256000,Ames
NAmes,1986,3,205000,Ames
NAmes,2142,4,193500,Ames
NAmes,1392,2,110000,Ames
NAmes,1738,4,104900,Ames
NAmes,1144,3,150000,Ames
NAmes,1478,3,156500,Ames
NAmes,1329,3,176000,Ames
NAmes,988,3,149500,Ames
NAmes,1632,3,139000,Ames
NAmes,1215,3,155000,Ames
NAmes,1202,3,120000,Ames
NAmes,1382,3,153000,Ames
NAmes,1200,3,144000,Ames
NAmes,1382,3,176000,Ames
NAmes,1297,3,153000,Ames
NAmes,1866,4,135000,Ames
NAmes,1062,3,131000,Ames
NAmes,1319,3,123000,Ames
NAmes,1112,2,126000,Ames
NAmes,1005,2,115000,Ames
NAmes,1363,2,164900,Ames
NAmes,793,2,113000,Ames
NAmes,1031,2,145500,Ames
NAmes,1210,2,102900,Ames
OldTown,1699,3,95000,Ames
NAmes,1527,3,152500,Ames
NAmes,1200,3,129900,Ames
NAmes,972,2,132000,Ames
OldTown,792,2,99900,Ames
OldTown,1656,3,135000,Ames
OldTown,1352,4,149000,Ames
OldTown,1039,2,114000,Ames
OldTown,792,2,109500,Ames
OldTown,1078,3,125000,Ames
OldTown,2377,3,142900,Ames
OldTown,1690,4,156500,Ames
OldTown,599,2,59000,Ames
OldTown,1374,2,105000,Ames
OldTown,846,2,106000,Ames
OldTown,725,1,78500,Ames
NAmes,2544,6,190000,Ames
NAmes,1380,3,154000,Ames
NAmes,1040,3,163000,Ames
NAmes,2634,6,2.00E+05,Ames
NAmes,951,2,143500,Ames
NAmes,1105,3,135000,Ames
NAmes,1306,2,153000,Ames
NAmes,1478,3,157500,Ames
NAmes,1142,2,113500,Ames
NAmes,1268,3,133000,Ames
NAmes,1040,2,92900,Ames
NAmes,1133,3,128500,Ames
NAmes,1040,2,90000,Ames
NAmes,1904,3,138000,Ames
NAmes,1041,3,128000,Ames
NAmes,1339,3,139000,Ames
NAmes,732,2,118900,Ames
NAmes,1183,3,138000,Ames
NAmes,1148,3,132500,Ames
NAmes,1461,4,133500,Ames
NAmes,1495,3,135000,Ames
NAmes,1806,4,144750,Ames
NAmes,941,2,145000,Ames
NAmes,1045,3,127000,Ames
NAmes,894,2,109500,Ames
OldTown,1224,3,115000,Ames
OldTown,1230,2,110000,Ames
OldTown,1378,3,128900,Ames
OldTown,1944,4,103500,Ames
OldTown,1131,3,66500,Ames
OldTown,1306,3,130000,Ames
OldTown,1464,3,129000,Ames
OldTown,1558,3,150000,Ames
OldTown,2372,4,107500,Ames
OldTown,1701,4,94550,Ames
OldTown,1960,4,124500,Ames
OldTown,1389,3,135000,Ames
OldTown,1447,3,103000,Ames
OldTown,936,2,93000,Ames
OldTown,1328,3,129500,Ames
OldTown,1387,3,93000,Ames
OldTown,861,2,80000,Ames
OldTown,612,1,45000,Ames
OldTown,968,2,37900,Ames
OldTown,886,2,91300,Ames
OldTown,792,2,99500,Ames
OldTown,1452,2,113000,Ames
OldTown,1510,3,87500,Ames
OldTown,1284,2,110000,Ames
OldTown,2138,2,106000,Ames
OldTown,2640,4,265979,Ames
OldTown,2007,3,160000,Ames
OldTown,1288,3,119000,Ames
OldTown,1742,4,168000,Ames
OldTown,816,2,58500,Ames
OldTown,1482,3,143000,Ames
OldTown,1022,2,85000,Ames
OldTown,1869,2,124900,Ames
OldTown,1480,3,119000,Ames
OldTown,1521,4,146500,Ames
IDOTRR,720,2,34900,Ames
IDOTRR,797,2,44000,Ames
BrkSide,1576,3,223500,Ames
BrkSide,1432,3,149000,Ames
BrkSide,1548,3,205000,Ames
BrkSide,1654,3,137000,Ames
BrkSide,952,2,121000,Ames
BrkSide,1324,3,128000,Ames
BrkSide,1176,2,134900,Ames
BrkSide,1348,3,117000,Ames
BrkSide,1412,4,132500,Ames
BrkSide,1142,3,93000,Ames
BrkSide,904,2,119000,Ames
BrkSide,1301,2,1.00E+05,Ames
BrkSide,1539,3,141500,Ames
BrkSide,1573,3,133000,Ames
BrkSide,800,1,60000,Ames
BrkSide,875,2,105000,Ames
BrkSide,995,2,115000,Ames
BrkSide,1582,3,150000,Ames
BrkSide,1072,2,126500,Ames
BrkSide,2134,5,214500,Ames
BrkSide,2019,3,167500,Ames
OldTown,1768,3,155000,Ames
OldTown,1826,4,155000,Ames
OldTown,1944,3,179900,Ames
OldTown,2229,5,104000,Ames
OldTown,2128,4,62500,Ames
IDOTRR,1930,4,149000,Ames
IDOTRR,1208,2,103000,Ames
OldTown,1427,3,123000,Ames
OldTown,1864,6,97500,Ames
IDOTRR,1666,3,135000,Ames
IDOTRR,892,1,70000,Ames
IDOTRR,1403,3,116000,Ames
Sawyer,704,2,88750,Ames
Edwards,1200,3,179000,Ames
Edwards,1200,3,179000,Ames
Edwards,1152,2,159900,Ames
Edwards,904,1,61000,Ames
Edwards,1369,3,103600,Ames
Edwards,1112,4,63000,Ames
Sawyer,1464,3,175000,Ames
Sawyer,1121,3,139000,Ames
Sawyer,1683,3,172500,Ames
Sawyer,1052,3,113500,Ames
Sawyer,899,3,130000,Ames
Sawyer,1034,3,149900,Ames
Sawyer,858,2,134900,Ames
Sawyer,860,2,137000,Ames
Sawyer,1092,3,139000,Ames
Sawyer,1774,4,165000,Ames
Sawyer,1138,3,148000,Ames
ClearCr,2071,4,165000,Ames
Sawyer,660,2,63900,Ames
ClearCr,1788,5,161500,Ames
ClearCr,1473,1,143000,Ames
Edwards,1229,3,135000,Ames
Edwards,861,1,82500,Ames
ClearCr,1867,2,190000,Ames
Edwards,1733,4,139600,Ames
Edwards,1383,2,122000,Ames
Edwards,1689,3,127500,Ames
Edwards,1073,2,121500,Ames
Edwards,1276,3,60000,Ames
Edwards,1639,3,154400,Ames
Edwards,672,2,113000,Ames
Edwards,1089,3,125000,Ames
Edwards,845,3,84000,Ames
Edwards,1049,2,139500,Ames
Edwards,1716,3,131000,Ames
Edwards,1258,2,105000,Ames
