"Neighborhood","Source","Liv_Area","Total_bedrooms","Sale_Price"
"IDOTRR","Ames",1192,3,78000
"IDOTRR","Ames",1526,2,85000
"IDOTRR","Ames",572,2,75000
"Mitchel","Ames",1710,3,240000
"Mitchel","Ames",1734,4,126000
"Timber","Ames",1692,3,224500
"Timber","Ames",1641,3,316500
"Timber","Ames",2014,3,170000
"Mitchel","Ames",1404,3,160000
"Mitchel","Ames",796,2,131900
"Mitchel","Ames",1362,1,143000
"Mitchel","Ames",1287,3,130000
"Gilbert","Ames",1604,3,187500
"Gilbert","Ames",1470,3,165000
"Gilbert","Ames",1658,3,188000
"StoneBr","Ames",1337,2,188500
"StoneBr","Ames",2500,5,355000
"StoneBr","Ames",1884,2,387000
"StoneBr","Ames",1710,2,334000
"NWAmes","Ames",2064,3,235000
"NWAmes","Ames",1964,4,205000
"BrDale","Ames",987,2,103400
"BrDale","Ames",987,2,106000
"BrDale","Ames",1302,3,111750
"NPkVill","Ames",1456,4,143000
"NPkVill","Ames",1055,2,148500
"NridgHt","Ames",2084,2,385000
"NridgHt","Ames",2713,3,446261
"NridgHt","Ames",2088,4,250000
"NridgHt","Ames",2332,4,316000
"NridgHt","Ames",2668,3,412500
"NridgHt","Ames",1575,2,284000
"NridgHt","Ames",2649,4,421250
"NridgHt","Ames",1518,1,274000
"NridgHt","Ames",1342,2,234250
"Blmngtn","Ames",1246,2,187687
"Gilbert","Ames",1593,3,193000
"Gilbert","Ames",1166,2,190000
"Gilbert","Ames",2322,4,225000
"NoRidge","Ames",2197,4,287500
"NoRidge","Ames",2127,3,271000
"Somerst","Ames",1874,3,297900
"Somerst","Ames",1372,3,250580
"SawyerW","Ames",1663,3,192500
"SawyerW","Ames",1175,3,146000
"SawyerW","Ames",1114,3,159000
"SawyerW","Ames",1162,3,170000
"SawyerW","Ames",1679,3,193500
"SawyerW","Ames",1199,2,153900
"Sawyer","Ames",984,3,128000
"Sawyer","Ames",912,2,144000
"Sawyer","Ames",890,3,115000
"Sawyer","Ames",1641,4,140000
"Somerst","Ames",1419,2,290000
"Somerst","Ames",1709,2,328900
"Veenker","Ames",1719,1,324000
"Veenker","Ames",1232,3,162500
"NWAmes","Ames",1258,3,145000
"NAmes","Ames",912,2,147000
"NAmes","Ames",925,3,135000
"NAmes","Ames",1728,6,145000
"NAmes","Ames",1728,6,142600
"NWAmes","Ames",1656,4,135000
"NAmes","Ames",1165,3,174900
"NAmes","Ames",1350,3,168500
"NAmes","Ames",1362,3,163000
"NAmes","Ames",1431,3,165000
"NAmes","Ames",1988,4,227000
"NAmes","Ames",1261,3,163000
"NAmes","Ames",1570,3,166800
"NAmes","Ames",1152,3,137500
"NAmes","Ames",1790,3,180000
"NAmes","Ames",952,2,139000
"NAmes","Ames",773,2,110000
"OldTown","Ames",1159,3,114000
"OldTown","Ames",672,2,86900
"OldTown","Ames",1436,3,139000
"NAmes","Ames",1716,4,171000
"NAmes","Ames",910,3,116000
"NAmes","Ames",1256,3,159000
"NAmes","Ames",1027,3,125900
"NAmes","Ames",1269,3,155000
"NAmes","Ames",825,2,109500
"OldTown","Ames",1133,3,143000
"OldTown","Ames",1594,3,118000
"OldTown","Ames",1740,2,122250
"OldTown","Ames",1436,3,155000
"OldTown","Ames",901,2,107900
"OldTown","Ames",3493,3,295000
"OldTown","Ames",1344,4,98000
"OldTown","Ames",1017,2,114000
"OldTown","Ames",1484,3,128000
"OldTown","Ames",1093,2,115500
"BrkSide","Ames",1672,3,164900
"IDOTRR","Ames",1969,4,141000
"IDOTRR","Ames",1236,3,127000
"OldTown","Ames",825,2,125000
"ClearCr","Ames",1588,4,134432
"Sawyer","Ames",1126,2,152000
"Sawyer","Ames",1228,3,149350
"ClearCr","Ames",1721,3,145000
"Edwards","Ames",1518,2,260000
"Edwards","Ames",1367,4,119000
"Edwards","Ames",1096,2,79000
"SawyerW","Ames",2200,4,225000
"CollgCr","Ames",2276,3,475000
"CollgCr","Ames",1766,3,395039
"SawyerW","Ames",2097,3,228000
"ClearCr","Ames",1643,2,195000
"CollgCr","Ames",1099,3,144000
"CollgCr","Ames",1792,3,231500
"CollgCr","Ames",1786,3,223500
"CollgCr","Ames",2161,3,230500
"CollgCr","Ames",1852,3,230000
"CollgCr","Ames",1786,3,3e+05
"CollgCr","Ames",848,1,136500
"CollgCr","Ames",1445,3,186500
"CollgCr","Ames",1582,3,185900
"CollgCr","Ames",1234,3,179900
"CollgCr","Ames",848,1,149000
"CollgCr","Ames",848,1,144500
"Edwards","Ames",796,2,85000
"Edwards","Ames",1256,3,147500
"Edwards","Ames",1181,3,137500
"Edwards","Ames",1137,4,96000
"Edwards","Ames",864,2,67000
"SWISU","Ames",2601,4,189000
"Crawfor","Ames",1502,3,149000
"Crawfor","Ames",1660,3,188700
"Crawfor","Ames",1873,4,257076
"Crawfor","Ames",1954,3,311500
"Blueste","Ames",1556,3,151000
"IDOTRR","Ames",919,2,126000
"IDOTRR","Ames",1200,4,119000
"IDOTRR","Ames",733,2,13100
"IDOTRR","Ames",1317,3,40000
"IDOTRR","Ames",1049,2,80900
"Mitchel","Ames",2032,3,3e+05
"Timber","Ames",1256,3,180000
"Timber","Ames",1509,3,175000
"Timber","Ames",1728,3,298751
"Timber","Ames",1964,3,370000
"Mitchel","Ames",1344,2,206300
"MeadowV","Ames",1475,4,129500
"MeadowV","Ames",1092,3,98000
"MeadowV","Ames",630,1,81000
"Mitchel","Ames",988,2,113000
"Gilbert","Ames",1733,3,225000
"Gilbert","Ames",1470,3,177000
"Gilbert","Ames",1384,3,161500
"StoneBr","Ames",1652,2,251000
"Gilbert","Ames",1187,3,160000
"StoneBr","Ames",2338,4,591587
"StoneBr","Ames",1419,2,392000
"NWAmes","Ames",2030,4,195000
"NWAmes","Ames",1725,3,197000
"NAmes","Ames",1422,3,155000
"BrDale","Ames",1218,3,113000
"BrDale","Ames",1218,4,113700
"NridgHt","Ames",1734,3,318000
"NridgHt","Ames",2656,3,492000
"NridgHt","Ames",1973,3,395000
"NridgHt","Ames",1802,3,372000
"NridgHt","Ames",2468,4,354000
"NridgHt","Ames",1577,2,280000
"NridgHt","Ames",1561,2,277500
"NridgHt","Ames",1869,2,318061
"Gilbert","Ames",1746,3,198444
"Gilbert","Ames",1326,3,203000
"Gilbert","Ames",1530,3,259000
"Gilbert","Ames",1525,3,206580
"NoRidge","Ames",2633,2,466500
"NoRidge","Ames",2398,3,315750
"NoRidge","Ames",2531,4,290000
"Somerst","Ames",1464,3,282922
"Somerst","Ames",1689,3,248328
"Somerst","Ames",1496,3,225000
"Somerst","Ames",1792,3,255000
"Somerst","Ames",1588,3,212109
"Somerst","Ames",1656,3,249700
"SawyerW","Ames",1100,3,146000
"SawyerW","Ames",1820,3,191750
"Sawyer","Ames",894,2,120750
"Sawyer","Ames",1037,2,129000
"Somerst","Ames",1378,2,214000
"Somerst","Ames",1241,1,199900
"Somerst","Ames",1458,2,176000
"Somerst","Ames",1950,3,239000
"Somerst","Ames",2362,3,312500
"Veenker","Ames",1262,3,181500
"Somerst","Ames",1929,3,226000
"NWAmes","Ames",2411,4,240050
"NWAmes","Ames",1295,3,164000
"NWAmes","Ames",1594,2,188500
"NWAmes","Ames",1680,4,136905
"NWAmes","Ames",1093,3,158500
"NWAmes","Ames",1052,3,127000
"NAmes","Ames",1074,2,124000
"NAmes","Ames",964,3,137500
"NAmes","Ames",1042,3,161000
"NAmes","Ames",932,2,124000
"NAmes","Ames",1254,3,158500
"NAmes","Ames",936,2,141000
"NAmes","Ames",1721,4,174850
"NAmes","Ames",1657,3,163500
"NAmes","Ames",925,3,127000
"NAmes","Ames",1360,3,130000
"NAmes","Ames",925,3,116900
"OldTown","Ames",924,2,112500
"NAmes","Ames",1728,3,156000
"NAmes","Ames",952,3,128500
"NAmes","Ames",1082,2,119200
"NAmes","Ames",988,3,119000
"NAmes","Ames",1851,3,187000
"OldTown","Ames",1432,2,132000
"OldTown","Ames",1022,2,89500
"OldTown","Ames",1798,4,137000
"OldTown","Ames",866,2,110500
"IDOTRR","Ames",1952,4,212300
"IDOTRR","Ames",1315,3,99500
"Sawyer","Ames",1452,2,158450
"Sawyer","Ames",948,3,108000
"Sawyer","Ames",894,3,129000
"Sawyer","Ames",912,3,129000
"Edwards","Ames",605,2,86000
"Edwards","Ames",1038,2,130000
"Edwards","Ames",1342,4,125000
"Edwards","Ames",1340,3,120000
"SawyerW","Ames",1822,4,228500
"CollgCr","Ames",2696,4,383970
"CollgCr","Ames",2140,3,360000
"CollgCr","Ames",2574,3,276000
"SawyerW","Ames",1873,3,207000
"CollgCr","Ames",990,3,126000
"CollgCr","Ames",1200,3,177500
"CollgCr","Ames",1308,3,175000
"CollgCr","Ames",1097,3,147900
"CollgCr","Ames",1873,3,235500
"CollgCr","Ames",1459,3,192000
"CollgCr","Ames",2452,4,267000
"CollgCr","Ames",1668,3,285000
"CollgCr","Ames",848,1,131500
"CollgCr","Ames",1797,3,213500
"CollgCr","Ames",1422,3,179600
"CollgCr","Ames",1190,2,173500
"Edwards","Ames",1088,2,110000
"Edwards","Ames",960,3,94750
"Edwards","Ames",1044,3,133500
"Edwards","Ames",1113,3,148000
"Edwards","Ames",2233,5,141000
"Edwards","Ames",1090,2,157000
"Edwards","Ames",960,2,131750
"Edwards","Ames",948,3,111000
"Edwards","Ames",864,3,79275
"SWISU","Ames",3395,8,2e+05
"Crawfor","Ames",1098,2,148500
"Crawfor","Ames",1436,3,141500
"Crawfor","Ames",2259,3,217000
"Crawfor","Ames",1560,3,201000
"Crawfor","Ames",1680,4,170000
"Crawfor","Ames",1696,3,198000
"IDOTRR","Ames",1123,3,1e+05
"IDOTRR","Ames",816,2,75200
"IDOTRR","Ames",1558,4,152000
"IDOTRR","Ames",1073,3,140000
"Crawfor","Ames",1625,2,375000
"Mitchel","Ames",1299,2,183500
"Timber","Ames",1756,3,204000
"Timber","Ames",1146,3,187500
"MeadowV","Ames",1092,3,85500
"Mitchel","Ames",1356,3,188000
"Mitchel","Ames",1432,3,157000
"Mitchel","Ames",974,3,93500
"Mitchel","Ames",887,3,124500
"Gilbert","Ames",1525,3,183500
"Gilbert","Ames",1498,3,187500
"Gilbert","Ames",1776,3,202000
"Gilbert","Ames",1511,3,185000
"Gilbert","Ames",1632,3,176500
"StoneBr","Ames",1742,2,275000
"StoneBr","Ames",2868,4,556581
"StoneBr","Ames",2945,3,438780
"NWAmes","Ames",2183,4,229000
"NWAmes","Ames",1872,3,241500
"NWAmes","Ames",1686,3,207500
"Somerst","Ames",2318,3,294323
"NAmes","Ames",1419,2,190000
"BrDale","Ames",948,2,89000
"NPkVill","Ames",1055,2,137500
"NridgHt","Ames",2596,4,342643
"NridgHt","Ames",1740,4,293000
"NridgHt","Ames",1850,3,326000
"NridgHt","Ames",2324,4,345000
"NridgHt","Ames",2253,3,344133
"NridgHt","Ames",1792,2,372397
"NridgHt","Ames",1368,2,202665
"Gilbert","Ames",1492,3,169985
"Gilbert","Ames",1496,3,179665
"Gilbert","Ames",1863,4,219210
"Blmngtn","Ames",1456,2,215000
"Blmngtn","Ames",1248,2,167240
"Blmngtn","Ames",1506,2,213490
"Blmngtn","Ames",1567,1,264561
"Gilbert","Ames",1838,4,192140
"Gilbert","Ames",1936,3,230500
"NoRidge","Ames",1924,3,280000
"SawyerW","Ames",1400,3,186800
"SawyerW","Ames",1398,2,172000
"SawyerW","Ames",1217,2,151000
"Sawyer","Ames",988,3,129500
"Sawyer","Ames",1728,6,125000
"Sawyer","Ames",909,3,116000
"Sawyer","Ames",912,3,124000
"Sawyer","Ames",1236,3,135000
"NoRidge","Ames",2826,3,334000
"NoRidge","Ames",1624,2,262000
"Somerst","Ames",1080,2,139000
"Greens","Ames",1235,1,214000
"Greens","Ames",1036,1,188000
"NWAmes","Ames",1416,3,179900
"NWAmes","Ames",2654,4,250000
"NAmes","Ames",1770,4,155000
"NAmes","Ames",864,3,129900
"NAmes","Ames",1095,2,140000
"NAmes","Ames",1248,3,151500
"NAmes","Ames",1008,2,137000
"BrkSide","Ames",1230,3,121600
"BrkSide","Ames",869,2,85500
"NAmes","Ames",2157,4,226000
"NAmes","Ames",1144,3,143000
"NAmes","Ames",1336,3,162000
"NAmes","Ames",1236,2,134450
"NAmes","Ames",1375,2,140000
"NAmes","Ames",1056,3,125000
"OldTown","Ames",1595,3,155500
"OldTown","Ames",2414,3,160000
"NAmes","Ames",1040,3,133700
"NAmes","Ames",1556,4,119000
"OldTown","Ames",2014,5,169000
"OldTown","Ames",1118,2,116000
"OldTown","Ames",1774,4,87000
"OldTown","Ames",1368,3,114504
"OldTown","Ames",1200,4,125000
"BrkSide","Ames",1664,3,159000
"OldTown","Ames",1118,3,119900
"BrkSide","Ames",1344,3,115000
"BrkSide","Ames",816,2,109000
"OldTown","Ames",1635,2,117000
"IDOTRR","Ames",1430,3,107000
"IDOTRR","Ames",1360,2,125500
"IDOTRR","Ames",1077,3,91000
"Sawyer","Ames",1640,3,131000
"ClearCr","Ames",1352,3,130000
"Sawyer","Ames",1059,3,142500
"Edwards","Ames",2201,4,274970
"CollgCr","Ames",1498,2,204900
"CollgCr","Ames",914,2,148000
"CollgCr","Ames",990,3,156000
"CollgCr","Ames",1776,3,192500
"CollgCr","Ames",971,3,128500
"CollgCr","Ames",1989,3,255000
"CollgCr","Ames",1762,3,222000
"CollgCr","Ames",1787,3,275000
"CollgCr","Ames",1939,3,227000
"CollgCr","Ames",1336,3,198000
"Edwards","Ames",1072,2,142500
"Edwards","Ames",1709,3,137500
"Edwards","Ames",1338,3,92000
"Edwards","Ames",1482,3,125000
"Edwards","Ames",498,1,35000
"SWISU","Ames",1551,3,137000
"SWISU","Ames",1522,4,102000
"SWISU","Ames",1465,3,131000
"Crawfor","Ames",2057,3,250000
"Crawfor","Ames",1336,2,157000
"IDOTRR","Ames",951,2,106500
"Mitchel","Ames",1664,4,145000
"Timber","Ames",2519,4,335000
"Timber","Ames",2028,2,369900
"MeadowV","Ames",630,1,73000
"Mitchel","Ames",1360,3,140000
"MeadowV","Ames",1092,3,87550
"Mitchel","Ames",1728,4,150900
"Sacramento","California",669,3,299200
"Bakersfield","California",902,2,261100
"Santa Ana","California",150,3,159200
"Oakland","California",432,4,158700
"Oakland","California",432,3,105500
"Santa Ana","California",446,4,108900
"San Jose","California",146,2,97200
"Santa Ana","California",512,2,188800
"Santa Ana","California",899,2,142500
"Long Beach","California",163,5,171900
"San Jose","California",653,5,83100
"Fresno","California",1238,2,75700
"Santa Ana","California",798,2,84400
"Oakland","California",155,4,85000
"San Francisco","California",1042,4,75000
"Oakland","California",553,2,67500
"Fresno","California",581,5,131300
"Bakersfield","California",90,4,118800
"Sacramento","California",347,5,137500
"Oakland","California",600,2,183800
"Bakersfield","California",739,4,193100
"Oakland","California",151,5,273400
"San Jose","California",142,5,335700
"Sacramento","California",740,4,275700
"San Francisco","California",497,5,225000
"Long Beach","California",443,4,327600
"Long Beach","California",576,4,389500
"Long Beach","California",539,3,295200
"Sacramento","California",156,2,411500
"Los Angeles","California",113,3,335200
"Santa Ana","California",189,3,365900
"Sacramento","California",121,3,273700
"Oakland","California",106,2,348700
"San Jose","California",462,3,218800
"Sacramento","California",163,3,122800
"Bakersfield","California",136,4,105500
"Bakersfield","California",142,5,96400
"San Jose","California",107,3,80800
"Los Angeles","California",801,5,122700
"Sacramento","California",612,5,109500
"Fresno","California",560,5,136700
"Santa Ana","California",102,5,141700
"Long Beach","California",916,3,150000
"Oakland","California",589,2,138800
"Santa Ana","California",104,3,139200
"Fresno","California",696,4,143800
"Fresno","California",139,2,257300
"Long Beach","California",1130,3,246900
"San Diego","California",503,3,137000
"San Francisco","California",403,2,119100
"Sacramento","California",447,3,121600
"Santa Ana","California",610,4,160000
"San Francisco","California",85,2,156500
"San Diego","California",834,2,225000
"Fresno","California",495,2,174200
"Santa Ana","California",331,2,253000
"Bakersfield","California",549,5,136700
"Sacramento","California",285,5,144000
"Long Beach","California",816,2,176000
"Oakland","California",213,2,145800
"San Francisco","California",376,2,97300
"San Diego","California",958,4,1e+05
"Bakersfield","California",109,2,84700
"Long Beach","California",371,2,76400
"Sacramento","California",109,2,97200
"Fresno","California",396,2,86500
"San Jose","California",902,2,80700
"Santa Ana","California",717,3,82000
"San Francisco","California",1142,4,82100
"Long Beach","California",841,2,88800
"Long Beach","California",739,2,95500
"Bakersfield","California",545,5,164300
"Santa Ana","California",992,2,195500
"San Jose","California",682,2,248900
"San Jose","California",534,3,111100
"San Francisco","California",685,3,129500
"Oakland","California",188,3,98200
"Santa Ana","California",625,5,276800
"San Jose","California",181,5,270900
"San Jose","California",372,5,224200
"Oakland","California",288,4,216700
"Long Beach","California",86,5,270600
"Bakersfield","California",432,3,261400
"San Jose","California",329,3,417500
"Sacramento","California",441,3,290100
"Oakland","California",112,4,342200
"San Francisco","California",551,2,415300
"San Diego","California",160,4,284900
"San Francisco","California",891,2,187500
"Los Angeles","California",872,3,140600
"San Diego","California",153,4,144800
"Bakersfield","California",741,3,245500
"Long Beach","California",150,3,182600
"San Jose","California",240,5,212000
"Oakland","California",703,3,216700
"Long Beach","California",745,3,196400
"Sacramento","California",495,5,191700
"Los Angeles","California",523,4,165900
"Santa Ana","California",159,4,157700
"Long Beach","California",745,3,153100
"Los Angeles","California",447,3,250000
"Bakersfield","California",205,5,253600
"San Francisco","California",477,5,500001
"Long Beach","California",237,3,500001
"Santa Ana","California",158,2,500001
"Oakland","California",131,3,398600
"Long Beach","California",724,4,333000
"Fresno","California",977,5,206300
"San Jose","California",184,2,210200
"Sacramento","California",386,3,292700
"Fresno","California",111,2,102200
"San Jose","California",557,4,220800
"Sacramento","California",371,4,242800
"San Francisco","California",1061,5,219000
"Los Angeles","California",615,5,282100
"Oakland","California",143,4,372000
"Oakland","California",406,5,220800
"Long Beach","California",98,5,234000
"San Diego","California",86,5,273800
"Sacramento","California",510,3,248500
"Oakland","California",114,4,240900
"Long Beach","California",878,5,286600
"Sacramento","California",126,2,206200
"Santa Ana","California",504,4,231000
"Santa Ana","California",608,3,209200
"Bakersfield","California",840,5,241800
"San Francisco","California",86,5,263900
"Bakersfield","California",308,3,220900
"San Jose","California",432,5,223200
"Fresno","California",592,4,195700
"San Jose","California",169,4,275000
"Oakland","California",557,3,183300
"Bakersfield","California",601,4,137500
"San Diego","California",187,5,264700
"Long Beach","California",440,5,235100
"Oakland","California",79,5,167900
"San Jose","California",764,2,186200
"Los Angeles","California",97,4,180000
"Long Beach","California",264,4,218000
"Los Angeles","California",563,4,187200
"Fresno","California",460,2,184600
"Oakland","California",317,5,192200
"Long Beach","California",634,5,212600
"San Diego","California",670,4,183600
"Santa Ana","California",903,4,161700
"Long Beach","California",408,4,179100
"San Francisco","California",156,3,160900
"Oakland","California",567,3,340000
"Bakersfield","California",196,2,431000
"Long Beach","California",86,4,216800
"Oakland","California",89,4,275000
"Sacramento","California",174,4,196900
"San Jose","California",494,5,170200
"San Francisco","California",493,3,167100
"Oakland","California",158,2,187500
"Los Angeles","California",165,2,179300
"San Jose","California",674,3,198100
"Oakland","California",267,5,179900
"Los Angeles","California",88,2,167200
"San Jose","California",177,3,240700
"San Diego","California",121,3,332600
"San Diego","California",600,5,165400
"Santa Ana","California",887,4,204500
"San Jose","California",207,3,137500
"Fresno","California",330,2,187200
"Santa Ana","California",596,2,173600
"Sacramento","California",147,4,163000
"Oakland","California",336,2,173100
"Los Angeles","California",363,5,172600
"Santa Ana","California",354,3,134900
"Santa Ana","California",134,4,157600
"San Francisco","California",202,4,226700
"San Diego","California",768,4,198700
"Los Angeles","California",279,4,187000
"Santa Ana","California",168,5,157300
"Los Angeles","California",330,2,156300
"Bakersfield","California",481,2,212500
"Santa Ana","California",288,4,231800
"Fresno","California",298,4,247600
"Oakland","California",815,4,158000
"Bakersfield","California",713,3,442900
"Los Angeles","California",70,2,248900
"Santa Ana","California",120,2,223200
"Fresno","California",536,2,287600
"Fresno","California",522,4,223500
"Los Angeles","California",111,5,246900
"Long Beach","California",635,5,223800
"Fresno","California",103,5,223100
"Santa Ana","California",410,3,218500
"Fresno","California",123,5,156300
"Long Beach","California",191,2,245700
"Long Beach","California",684,3,299400
"Los Angeles","California",654,4,221300
"San Francisco","California",122,3,336500
